sample_id	MS1_TIC_median	MS1_TIC_CV	MS2_precursor_events	MS1_frames	MS2_frames	Gradient_min
079_Clostridium_tetani_DSM11744_DDA100_5312	7373497.0	1.00963770539832	38589	949	5428	11.498412583333334
080_Clostridium_tetani_DSM11745_DDA100_5262	6631243.0	1.0133393513029598	38175	954	5419	11.497309416666667
082_Cutibacterium_acnes_ssp_acnes_DSM1897_DDA100_5258	3729606.5	1.0606130732724304	38360	980	5387	11.497820633333333
083_Cutibacterium_acnes_ssp_acnes_DSM16379_DDA100_5260	3304590.0	1.0597156332884383	37521	969	5401	11.49795955
084_Cutibacterium_acnes_ssp_acnes_DSM108415_DDA100_5264	4172164.0	1.0425044298861363	38405	967	5410	11.498693666666666
085_Cutibacterium_granulosum_DSM20700_DDA100_5308	5873931.0	1.0236360344089295	39482	956	5418	11.498196266666667
086_Cutibacterium_granulosum_DSM20458_DDA100_5310	4245839.0	1.0543144655010523	37809	975	5394	11.497766216666667
092_Helicobacter_pylori_DSM7492_DDA100_5272	1607310.0	1.0797154656664096	37555	1007	5356	11.497401266666666
093_Helicobacter_pylori_DSM10242_DDA100_5270	985304.0	1.111368461285299	36269	1017	5346	11.496919716666667
109_Escherichia_coli_DSM3871_DDA100_5326	593154.5	1.1290589724160005	37397	1052	5296	11.497232066666667
112_Enterococcus_faecalis_DSM20371_DDA100_5394	4005164.0	1.0240171796930861	35689	942	5437	11.497864016666666
114_Enterococcus_faecium_UW6713_DDA100_5420	3240167.0	1.0471470448469473	35645	969	5399	11.498233983333334
115_Klebsiella_oxytoca_CCUG_15788_DDA100_5400	1297878.5	1.0860842353495694	35210	1006	5355	11.498489616666665
118_Pseudomonas_aeruginosa_DSM50071_DDA100_5354	4434131.0	1.0208074537288185	39905	957	5416	11.497934783333333
119_Pseudomonas_aeruginosa_DSM1117_DDA100_5396	2736074.5	1.0401619038571215	35526	966	5404	11.4967398
121_Pseudomonas_aeruginosa_DSM29238_DDA100_5412	2364357.0	1.0410825687494514	35229	973	5397	11.49693105
127_Ralstonia_pickettii_DSM6297_DDA100_5334	2752552.0	1.0590020484692555	37599	986	5380	11.497428133333333
128_Klebsiella_oxytoca_Oman_61_DDA100_5440	4137895.5	1.0393593948211957	38525	968	5400	11.498323033333332
131_Klebsiella_pneumoniae_ssp_ozaenae_ATCC25926_DDA100_5436	3338820.5	1.0558303365704649	38815	980	5388	11.498554033333333
134_Proteus_columbae_MN12_DDA100_5438	4002650.0	1.0354717906323336	37519	962	5408	11.497706583333333
136_Corynebacterium_diphtheriae_DSM43989_DDA100_5256	5297045.0	1.030149107743128	40014	963	5408	11.498406316666665
145_Ralstonia_insidiosa_Rp_127_DDA100_5402	4394976.0	1.0308788085574274	37194	951	5424	11.497698033333334
146_Staphylococcus_aureus_DSM4910_DDA100_5428	2927791.0	1.0501273591083746	36165	964	5405	11.497958066666666
148_Salmonella_enterica_sv_enteritidis_LT21-Ib_08-01796_DDA100_5410	3382609.0	1.0505518725709067	38142	978	5389	11.496785216666666
149_Staphylococcus_aureus_DSM25693_DDA100_5432	2793684.0	1.053587263664639	36291	967	5404	11.497009433333334
151_Salmonella_enterica_sv_typhimurium_DT104_08-01627_DDA100_5398	2357640.0	1.0607339814713275	35870	980	5383	11.496987983333334
152_Staphylococcus_epidermidis_DSM1798_DDA100_5318	1081518.0	1.0838317715152934	34440	1006	5353	11.49842685
154_Shigella_boydii_06-06820_DDA100_5404	3289067.5	1.050207739883045	37200	970	5399	11.497858299999999
156_Klebsiella_aerogenes_E19_DDA100_5416	4243635.0	1.0304083564448063	37652	951	5421	11.496912816666667
157_Shigella_flexneri_3A_07-02503_DDA100_5408	4785122.5	1.0310572027910083	37598	962	5409	11.497740616666666
158_Staphylococcus_hominis_ssp_hominis_DSM20328_DDA100_5322	2344133.0	1.075982838253138	34864	989	5378	11.49830285
160_Staphylococcus_aureus_DSM20231_DDA100_5320	3141002.5	1.0570207951336088	36520	966	5403	11.498095016666667
161_Staphylococcus_lugdunensis_DSM4804_DDA100_5330	3155483.0	1.062982887403523	36482	981	5386	11.496909216666667
164_Staphylococcus_lugdunensis_09-00515_DDA100_5424	2825452.0	1.0443417057806363	35489	967	5403	11.496972433333333
168_Klebsiella_oxytoca_DSM5175_DDA100_5360	990360.5	1.0816289766878546	40018	1020	5336	11.497866266666668
169_Staphylococcus_epidermidis_DSM20044_DDA100_5392	2824259.0	1.0452764935871803	34110	968	5402	11.49807185
178_Clostridium_perfringens_DSM628_DDA100_5250	2911961.5	1.075499802973543	36407	974	5402	11.497753816666666
181_Prevotella_intermedia_DSM20706_DDA100_5268	639531.0	1.152912385207484	31303	1046	5311	11.498083216666666
182_Clostridioides_difficile_DSM12057_DDA100_5296	2520381.0	1.0717515915326603	37291	995	5369	11.49750285
183_Prevotella_melaninogenica_DSM7089_DDA100_5302	4045163.0	1.037021708816832	37499	951	5422	11.4976076
185_Prevotella_melaninogenica_DSM26980_DDA100_5282	597050.0	1.1368888865839593	37088	1053	5295	11.498143050000001
191_Salmonella_bongori_DSM13772_DDA100_5300	3487812.5	1.0490381067940766	38385	980	5386	11.496891033333332
193_Salmonella_enterica_sv_enteritidis_DSM107295_DDA100_5290	1129404.0	1.0798646335060555	38802	1011	5348	11.497035616666667
195_Salmonella_enterica_sv_paratyphi_167_DDA100_5298	2885951.0	1.0617721734508696	39264	996	5368	11.497549683333334
199_Salmonella_enterica_sv_typhimurium_DSM17058_DDA100_5286	1492653.0	1.084493450112744	38219	1005	5354	11.4979424
203_Serratia_ureilytica_RS2.1_DDA100_5276	617587.0	1.09967875312327	39458	1032	5320	11.496689400000001
205_Serratia_bockelmannii_Wasserisolat04_DDA100_5294	2817592.0	1.0589423668375029	39278	991	5373	11.49748365
206_Listeria_monocytogenes_DSM15675_DDA100_5316	2123684.0	1.077599357314547	37518	998	5364	11.497648416666667
208_Listeria_monocytogenes_DSM19094_DDA100_5314	3012799.5	1.0563031971568533	38037	976	5392	11.497234433333334
209_Staphylococcus_haemolyticus_DSM20228_DDA100_5434	2071981.5	1.0665342994054592	32456	978	5388	11.496767949999999
213_Staphylococcus_saprophyticus_ssp_bovis_DSM18669_DDA100_5274	579171.0	1.1782868144473455	28819	1052	5309	11.497012649999999
215_Staphylococcus_saprophyticus_DSM30626_DDA100_5280	2119522.0	1.0886006896743463	32104	987	5376	11.497020749999999
245_Stenotrophomonas_geniculata_Sm_51_DDA100_5406	3897563.0	1.01660880775227	36208	936	5441	11.496864666666665
248_Streptococcus_pyogenes_DSM20565_DDA100_5344	5437588.5	1.0225381060246233	36579	944	5431	11.497953866666668
258_Yersinia_enterocolitica_DSM4780_DDA100_5336	1866577.0	1.0757876338689438	37959	998	5362	11.49812165
260_Yersinia_enterocolitica_DSM9676_DDA100_5414	3165020.5	1.056755963409609	37446	984	5381	11.496643033333333
262_Yersinia_pseudotuberculosis_DSM8992_DDA100_5332	895106.0	1.0823550669368742	37559	1011	5345	11.497250383333332
023_Citrobacter_amalonaticus_04-08695_DDA100_6488	1020676.0	1.0955649992339724	40234	1067	5305	11.497912433333333
027_Bacillus_subtilis_ssp_spizizenii_ATCC6633_DDA100_6512	999070.0	1.0775154519240076	40865	1049	5316	11.497661583333333
043_Burkholderia_cenocepacia_ATCC25608_DDA100_6494	2063448.0	1.0523682139770454	39241	994	5386	11.498008566666666
088_Escherichia_coli_DSM682_DDA100_6510	1030642.5	1.072681050366079	40885	1038	5331	11.4970668
102_Enterococcus_hirae_P25_2_DDA100_6504	1107225.0	1.0628006584255236	39617	1027	5347	11.497628433333334
110_Enterococcus_faecium_UW6203_DDA100_6506	1016296.0	1.0684848517074454	39367	1037	5333	11.497513300000001
122_Enterococcus_durans_P25_3_DDA100_6486	1027393.0	1.0828386900146414	38667	1049	5322	11.497102850000001
125_Klebsiella_aerogenes_E56_DDA100_6496	988459.0	1.1012691704636914	38917	1064	5345	11.497511966666668
137_Proteus_mirabilis_718-91_DDA100_6490	1016633.5	1.0950391275626312	39150	1066	5302	11.497528483333333
140_Pseudomonas_aeruginosa_ATCC33355_DDA100_6508	1018156.0	1.067905742803127	35236	1054	5312	11.497192183333334
143_Ralstonia_condita_HST_2644_DDA100_6498	1016467.0	1.0820984306498311	39156	1050	5316	11.498026166666667
167_Yersinia_enterocolitica_DSM11503_DDA100_6492	1263507.0	1.0593616777021768	39850	1022	5352	11.496802533333332
198_Acinetobacter_baumannii_DSM30007_DDA100_6502	2559305.0	1.0251561390186688	41672	991	5387	11.4980974
277_Acinetobacter_baumannii_DSM24110_DDA100_6500	4564396.0	0.9986120927545519	40914	954	5433	11.498422966666668
