sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM
100_Stenotrophomonas_maltophilia_DSM50170_DDA100_4322	1532	8091	1.4624518042649417	0.10554285757709062	67.70681591658361	28.490377980525956	89.84129418078662	9740	5.8630004	0.018000001
102_Enterococcus_hirae_P25_2_DDA100_6504	1196	8842	1.4715646066159112	0.07709291751198877	75.49912652857499	20.78861991514849	84.50212128774645	10676	5.8630004	0.020000001
107_Klebsiella_quasipneumoniae_ssp_quasipneumoniae_DSM28211_DDA100_4384	2091	11355	1.6107918766954346	0.0	70.39975273026994	25.195755202967234	86.17350092726149	13917	5.8630004	0.020000001
109_Escherichia_coli_DSM3871_DDA100_5326	1532	9361	1.4484733584599567	0.0	68.9236863279074	27.016153988983106	87.85665655752925	11501	5.8630004	0.020000001
110_Enterococcus_faecium_UW6203_DDA100_6506	1085	6583	1.3610113017714591	0.10225333632185751	77.86636623624231	19.2824334864373	84.23606898344744	7766	5.8630004	0.020000001
111_Enterococcus_faecium_DSM20477_DDA100_4282	1068	6566	1.4494139096361787	0.057115926117052324	73.97013388259526	22.04771713010642	87.46996223824236	7929	5.8630004	0.020000001
112_Enterococcus_faecalis_DSM20371_DDA100_5394	1063	6622	1.3428734044146067	0.08794861268099385	73.83789684344583	22.0231056126626	89.73892477030839	7721	5.8630004	0.020000001
114_Enterococcus_faecium_UW6713_DDA100_5420	975	6371	1.345969923190178	0.09751616574237595	72.51209854817422	23.83633963924329	88.59656841179059	7664	5.8630004	0.020000001
115_Klebsiella_oxytoca_CCUG_15788_DDA100_5400	1531	8705	1.3103116430652848	0.0	68.76625659050967	27.3884007029877	89.16695957820738	10404	5.8630004	0.020000001
116_Citrobacter_amalonaticus_DSM4593_DDA100_4336	1576	7024	1.5517922058954412	0.0	68.6613360846015	27.50408391367896	87.79124752815751	8562	5.8630004	0.018000001
117_Citrobacter_amalonaticus_DSM17342_DDA100_4356	1478	6644	1.5594029449286582	0.0	67.79029539607913	27.960613856116385	87.15514947219019	8158	5.8630004	0.018000001
118_Pseudomonas_aeruginosa_DSM50071_DDA100_5354	2052	11867	1.45058982795642	0.0	72.73330018233052	23.702967014752197	89.92762031051438	13908	5.8630004	0.020000001
119_Pseudomonas_aeruginosa_DSM1117_DDA100_5396	1719	10505	1.3212260275689114	0.0	68.4028619936939	28.177298083919478	90.38321610477807	12493	5.8630004	0.018000001
120_Citrobacter_freundii_DSM14984_DDA100_4400	1362	5778	1.6081763313390849	0.08434296785866617	70.3609037930682	26.060729986708925	87.32235967692465	6999	5.8630004	0.020000001
121_Pseudomonas_aeruginosa_DSM29238_DDA100_5412	1861	11084	1.3362172318772858	0.0	67.76147216398789	28.6512928022362	89.96622408572094	13138	5.8630004	0.018000001
122_Enterococcus_durans_P25_3_DDA100_6486	675	3010	1.3368751017417897	0.2382832649424228	82.25302616165561	15.638422491214369	87.77821163607966	3385	5.8630004	0.020000001
123_Citrobacter_freundii_DSM24120_DDA100_4404	1291	5492	1.6085063831460529	0.07435768146855397	70.91201716738198	25.439914163090126	86.7274678111588	6617	5.8630004	0.020000001
125_Klebsiella_aerogenes_E56_DDA100_6496	1615	9263	1.2236645147969962	0.0969449354705426	76.96204288390813	20.33863021303171	88.39081257372841	10716	5.8630004	0.020000001
126_Citrobacter_koseri_DSM4570_DDA100_4426	1707	10022	1.5040223318282488	0.08427375091536694	71.29685428468122	24.56912136916958	88.0197661805472	12097	5.8630004	0.020000001
127_Ralstonia_pickettii_DSM6297_DDA100_5334	1620	10156	1.4386638959808176	0.0	66.64715523296651	29.261297120112385	86.9468508546008	12533	5.8630004	0.018000001
128_Klebsiella_oxytoca_Oman_61_DDA100_5440	1601	7744	1.425532791520013	0.06258659300634324	69.56083178150217	26.76908752327747	87.88795779019243	9306	5.8630004	0.020000001
