sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM	MS1_TIC_median	MS1_TIC_CV	MS2_precursor_events	MS1_frames	MS2_frames	Gradient_min	Total.Protein.Number.Ref	MS1_TIC_CV_pct	Protein.Identification.Rate
078_Brevundimonas_vesicularis_DSM108136_DDA100_4454	1514	8421	1.5847045165240838	0.0910683031397892	71.11816578483246	25.09347442680776	86.87830687830687	10214	5.8630004	0.020000001	909400.5	1.056620983047877	42773	1026	5330	11.497798183333334	3269	105.6620983047877	46.313857448761084
079_Clostridium_tetani_DSM11744_DDA100_5312	1047	6900	1.5820672503096014	0.0904106002266348	76.91238966982674	20.27623406341942	85.27296502124877	8112	5.8630004	0.020000001	7373497.0	1.00963770539832	38589	949	5428	11.498412583333334	2415	100.96377053983201	43.35403726708075
080_Clostridium_tetani_DSM11745_DDA100_5262	1028	6801	1.5688089207940763	0.096612126705838	78.75133316925096	18.656165395028303	86.1268356715071	7910	5.8630004	0.020000001	6631243.0	1.0133393513029598	38175	954	5419	11.497309416666669	2415	101.33393513029598	42.56728778467909
082_Cutibacterium_acnes_ssp_acnes_DSM1897_DDA100_5258	1303	8427	1.4743842311168114	0.0	68.25025960539979	27.64148494288681	88.66822429906543	10519	5.8630004	0.020000001	3729606.5	1.0606130732724304	38360	980	5387	11.497820633333331	2294	106.06130732724304	56.80034873583261
083_Cutibacterium_acnes_ssp_acnes_DSM16379_DDA100_5260	1330	9437	1.428709813077968	0.0	66.92867198498358	28.806898169873296	89.01923979352416	11868	5.8630004	0.020000001	3304590.0	1.0597156332884383	37521	969	5401	11.49795955	2294	105.97156332884383	57.97733217088056
084_Cutibacterium_acnes_ssp_acnes_DSM108415_DDA100_5264	1284	7797	1.502970734379306	0.0708389886459269	67.59664098827122	28.183774030120063	88.65986536192658	9804	5.8630004	0.020000001	4172164.0	1.0425044298861363	38405	967	5410	11.498693666666666	2294	104.25044298861363	55.97210113339146
085_Cutibacterium_granulosum_DSM20700_DDA100_5308	1260	8097	1.5004538873009083	0.0602473152290151	67.2449182281666	27.85539296828445	89.29351784413693	10181	5.8630004	0.020000001	5873931.0	1.0236360344089297	39482	956	5418	11.498196266666667	1962	102.36360344089297	64.22018348623854
086_Cutibacterium_granulosum_DSM20458_DDA100_5310	1259	8486	1.4871870307842905	0.0593865488279173	66.80404404662245	28.77197501448902	89.24592697533646	10534	5.8630004	0.020000001	4245839.0	1.0543144655010523	37809	975	5394	11.497766216666667	1962	105.43144655010524	64.16921508664628
088_Escherichia_coli_DSM682_DDA100_6510	1737	10300	1.4470751639264834	0.0532754548791526	73.58044618666052	22.83968409523261	83.97417420879691	12477	5.8630004	0.020000001	1030642.5	1.072681050366079	40885	1038	5331	11.4970668	4594	107.2681050366079	37.81018720069656
092_Helicobacter_pylori_DSM7492_DDA100_5272	873	5423	1.452346958512086	0.1767453961359214	76.96765356653673	20.366663154567487	86.87177325887683	6382	5.8630004	0.020000001	1607310.0	1.0797154656664096	37555	1007	5356	11.497401266666666	1554	107.97154656664097	56.17760617760618
093_Helicobacter_pylori_DSM10242_DDA100_5270	889	5644	1.3704516195403378	0.157397167118567	77.11608537220198	20.239458615304528	89.06819364914107	6648	5.8630004	0.020000001	985304.0	1.111368461285299	36269	1017	5346	11.496919716666667	1554	111.1368461285299	57.20720720720721
